メーカー,型番,商品名,対応号数,外寸,高さ_cm,内径_cm,深さ_cm,素材,カラー,底穴,上代_税抜,WEBカタログURL
クレイ,CY-101,シリンダーファイバー 10号,10号,Φ42×H50,50,38,48,ファイバークレイ,ホワイト,あり,18000,https://example.com
クレイ,CY-102,シリンダーファイバー 10号,10号,Φ42×H50,50,38,48,ファイバークレイ,ブラック,あり,18000,https://example.com
ミュールミル,MM-801,ストーンポット L,10号,Φ40×H48,48,36,46,セメント,グレー,あり,16500,https://example.com
ミュールミル,MM-802,ストーンポット L,10号,Φ40×H48,48,36,46,セメント,ホワイト,あり,16500,https://example.com
マグナス,MG-120,キューブポリエステル 12号,12号,W50×D50×H50,50,44,48,FRP,ダークグレー,なし,32000,https://example.com
マグナス,MG-121,キューブポリエステル 12号,12号,W50×D50×H50,50,44,48,FRP,ホワイト,なし,32000,https://example.com
グリーンポット,GP-305,アートストーン ラウンド 8号,8号,Φ30×H35,35,28,33,樹脂・粉末石,ブラウン,あり,4800,https://example.com
グリーンポット,GP-306,アートストーン ラウンド 8号,8号,Φ30×H35,35,28,33,樹脂・粉末石,グレー,あり,4800,https://example.com
ヤマテー,YM-001,アビス ソリッド 15号,15号,Φ55×H68,68,48,65,陶器,ブルー,あり,45000,https://example.com
ヤマテー,YM-002,アビス ソリッド 12号,12号,Φ43×H55,55,37,52,陶器,ブルー,あり,28000,https://example.com
クレイ,CY-205,テラコッタスリム 8号,8号,Φ28×H45,45,25,43,テラコッタ,ナチュラル,あり,8500,https://example.com
ミュールミル,MM-910,アルミコンテナTall,10号,Φ38×H60,60,35,58,金属（アルミ）,シルバー,なし,24000,https://example.com
マグナス,MG-080,アーバンライト 8号,8号,Φ32×H38,38,29,36,FRP,ブラック,あり,9800,https://example.com
グリーンポット,GP-401,オバールプランター,10号,W48×D32×H40,40,35,38,ファイバーセメント,ホワイト,あり,14000,https://example.com
ヤマテー,YM-105,ガンマ シリンダー 12号,12号,Φ45×H52,52,40,50,FRP,グレー,あり,26000,https://example.com
